MIDDLE STATES,
Delaware,12797
Dist. of Columbia,12578
Maryland,127262
New Jersey,148041
New York,292527
Pennsylvania,135748
MIDWESTERN,
Illinois,221267
Indiana,84425
Iowa,20372
Kansas,17048
Michigan,109164
Minnesota,73559
Missouri,44429
Nebraska,14196
North Dakota,3699
Ohio,126876
South Dakota,4688
West Virginia,13125
Wisconsin,79592
NEW ENGLAND,
Connecticut,66822
Maine,15294
Massachusetts,119658
New Hampshire,12560
Rhode Island,12684
Vermont,6998
SOUTHERN,
Alabama,54656
Florida,391250
Georgia,175740
Kentucky,58063
Louisiana,34717
Mississippi,16068
North Carolina,154529
South Carolina,53625
Tennessee,60301
Virginia,157699
,1156648
SOUTHWESTERN,
Arkansas,48425
New Mexico,18271
Oklahoma,31816
Texas,584179
WESTERN,
Alaska,5876
Arizona,71216
California,779608
Colorado,86292
Hawaii,15227
Idaho,13151
Montana,5707
Nevada,39185
Oregon,34131
Utah,43318
Washington,91934
Wyoming,3029
National Total,4803422
Canada,30321
Non-U.S.,119499
U.S. Territories,4689
Grand Total,4957931